week_start,parent_brand,cluster_id,units_sold
2024-12-23,Northwind Lager,C-WEST,9406
2024-12-23,Riverbend IPA,C-EAST,20814
2024-12-23,Riverbend IPA,C-WEST,12728
2024-12-23,Solano Tequila,C-EAST,19041
2024-12-23,Solano Tequila,C-WEST,15227
2024-12-30,Black Pine Whiskey,C-EAST,19560
2024-12-30,Black Pine Whiskey,C-WEST,15732
2024-12-30,Crestmark Bourbon,C-EAST,28391
2024-12-30,Crestmark Bourbon,C-WEST,16955
2024-12-30,Maple Hollow Ale,C-EAST,28485
2024-12-30,Maple Hollow Ale,C-WEST,10932
2024-12-30,Northwind Lager,C-EAST,13045
2024-12-30,Northwind Lager,C-WEST,8499
2024-12-30,Riverbend IPA,C-EAST,18065
2024-12-30,Riverbend IPA,C-WEST,14204
2024-12-30,Solano Tequila,C-EAST,17832
2024-12-30,Solano Tequila,C-WEST,16416
2025-01-06,Black Pine Whiskey,C-EAST,17066
2025-01-06,Black Pine Whiskey,C-WEST,16031
2025-01-06,Crestmark Bourbon,C-EAST,17926
2025-01-06,Crestmark Bourbon,C-WEST,14674
2025-01-06,Maple Hollow Ale,C-EAST,25012
2025-01-06,Maple Hollow Ale,C-WEST,13613
2025-01-06,Northwind Lager,C-EAST,13822
2025-01-06,Northwind Lager,C-WEST,7424
2025-01-06,Riverbend IPA,C-EAST,21558
2025-01-06,Riverbend IPA,C-WEST,15339
2025-01-06,Solano Tequila,C-EAST,25661
2025-01-06,Solano Tequila,C-WEST,14277
2025-01-13,Black Pine Whiskey,C-EAST,26679
2025-01-13,Black Pine Whiskey,C-WEST,22063
2025-01-13,Crestmark Bourbon,C-EAST,20387
2025-01-13,Crestmark Bourbon,C-WEST,15409
2025-01-13,Maple Hollow Ale,C-EAST,23363
2025-01-13,Maple Hollow Ale,C-WEST,13625
2025-01-13,Northwind Lager,C-EAST,19136
2025-01-13,Northwind Lager,C-WEST,10495
2025-01-13,Riverbend IPA,C-EAST,16055
2025-01-13,Riverbend IPA,C-WEST,17116
2025-01-13,Solano Tequila,C-EAST,28593
2025-01-13,Solano Tequila,C-WEST,13171
2025-01-20,Black Pine Whiskey,C-EAST,19807
2025-01-20,Black Pine Whiskey,C-WEST,11686
2025-01-20,Crestmark Bourbon,C-EAST,13177
2025-01-20,Crestmark Bourbon,C-WEST,14770
2025-01-20,Maple Hollow Ale,C-EAST,27745
2025-01-20,Maple Hollow Ale,C-WEST,13463
2025-01-20,Northwind Lager,C-EAST,16705
2025-01-20,Northwind Lager,C-WEST,9107
2025-01-20,Riverbend IPA,C-EAST,18203
2025-01-20,Riverbend IPA,C-WEST,19446
2025-01-20,Solano Tequila,C-EAST,20945
2025-01-20,Solano Tequila,C-WEST,11632
2025-01-27,Black Pine Whiskey,C-EAST,16279
2025-01-27,Black Pine Whiskey,C-WEST,16214
2025-01-27,Crestmark Bourbon,C-EAST,14889
2025-01-27,Crestmark Bourbon,C-WEST,18054
2025-01-27,Maple Hollow Ale,C-EAST,22315
2025-01-27,Maple Hollow Ale,C-WEST,12749
2025-01-27,Northwind Lager,C-EAST,17896
2025-01-27,Northwind Lager,C-WEST,10533
2025-01-27,Riverbend IPA,C-EAST,17937
2025-01-27,Riverbend IPA,C-WEST,18563
2025-01-27,Solano Tequila,C-EAST,14059
2025-01-27,Solano Tequila,C-WEST,11859
2025-02-03,Black Pine Whiskey,C-EAST,23610
2025-02-03,Black Pine Whiskey,C-WEST,13189
2025-02-03,Crestmark Bourbon,C-EAST,18275
2025-02-03,Crestmark Bourbon,C-WEST,18523
2025-02-03,Maple Hollow Ale,C-EAST,36889
2025-02-03,Maple Hollow Ale,C-WEST,10347
2025-02-03,Northwind Lager,C-EAST,20323
2025-02-03,Northwind Lager,C-WEST,9655
2025-02-03,Riverbend IPA,C-EAST,20582
2025-02-03,Riverbend IPA,C-WEST,18835
2025-02-03,Solano Tequila,C-EAST,15623
2025-02-03,Solano Tequila,C-WEST,15386
2025-02-10,Black Pine Whiskey,C-EAST,20801
2025-02-10,Black Pine Whiskey,C-WEST,13892
2025-02-10,Crestmark Bourbon,C-EAST,19628
2025-02-10,Crestmark Bourbon,C-WEST,20579
2025-02-10,Maple Hollow Ale,C-EAST,36789
2025-02-10,Maple Hollow Ale,C-WEST,9896
2025-02-10,Northwind Lager,C-EAST,18787
2025-02-10,Northwind Lager,C-WEST,10128
2025-02-10,Riverbend IPA,C-EAST,17937
2025-02-10,Riverbend IPA,C-WEST,17842
2025-02-10,Solano Tequila,C-EAST,13788
2025-02-10,Solano Tequila,C-WEST,14001
2025-02-17,Black Pine Whiskey,C-EAST,20891
2025-02-17,Black Pine Whiskey,C-WEST,14968
2025-02-17,Crestmark Bourbon,C-EAST,19314
2025-02-17,Crestmark Bourbon,C-WEST,21447
2025-02-17,Maple Hollow Ale,C-EAST,38905
2025-02-17,Maple Hollow Ale,C-WEST,10871
2025-02-17,Northwind Lager,C-EAST,15763
2025-02-17,Northwind Lager,C-WEST,7310
2025-02-17,Riverbend IPA,C-EAST,22734
2025-02-17,Riverbend IPA,C-WEST,19671
2025-02-17,Solano Tequila,C-EAST,16966
2025-02-17,Solano Tequila,C-WEST,13068
2025-02-24,Black Pine Whiskey,C-EAST,16383
2025-02-24,Black Pine Whiskey,C-WEST,16076
2025-02-24,Crestmark Bourbon,C-EAST,16167
2025-02-24,Crestmark Bourbon,C-WEST,17845
2025-02-24,Maple Hollow Ale,C-EAST,30288
2025-02-24,Maple Hollow Ale,C-WEST,11821
2025-02-24,Northwind Lager,C-EAST,17596
2025-02-24,Northwind Lager,C-WEST,7892
2025-02-24,Riverbend IPA,C-EAST,17737
2025-02-24,Riverbend IPA,C-WEST,14388
2025-02-24,Solano Tequila,C-EAST,17271
2025-02-24,Solano Tequila,C-WEST,13555
2025-03-03,Black Pine Whiskey,C-EAST,16702
2025-03-03,Black Pine Whiskey,C-WEST,16043
2025-03-03,Crestmark Bourbon,C-EAST,16224
2025-03-03,Crestmark Bourbon,C-WEST,18448
2025-03-03,Maple Hollow Ale,C-EAST,30265
2025-03-03,Maple Hollow Ale,C-WEST,12450
2025-03-03,Northwind Lager,C-EAST,20459
2025-03-03,Northwind Lager,C-WEST,10624
2025-03-03,Riverbend IPA,C-EAST,20571
2025-03-03,Riverbend IPA,C-WEST,15858
2025-03-03,Solano Tequila,C-EAST,18928
2025-03-03,Solano Tequila,C-WEST,13198
2025-03-10,Black Pine Whiskey,C-EAST,18419
2025-03-10,Black Pine Whiskey,C-WEST,14700
2025-03-10,Crestmark Bourbon,C-EAST,16043
2025-03-10,Crestmark Bourbon,C-WEST,12922
2025-03-10,Maple Hollow Ale,C-EAST,27635
2025-03-10,Maple Hollow Ale,C-WEST,15558
2025-03-10,Northwind Lager,C-EAST,18052
2025-03-10,Northwind Lager,C-WEST,10660
2025-03-10,Riverbend IPA,C-EAST,15922
2025-03-10,Riverbend IPA,C-WEST,20280
2025-03-10,Solano Tequila,C-EAST,20274
2025-03-10,Solano Tequila,C-WEST,12842
2025-03-17,Black Pine Whiskey,C-EAST,15201
2025-03-17,Black Pine Whiskey,C-WEST,11208
2025-03-17,Crestmark Bourbon,C-EAST,17789
2025-03-17,Crestmark Bourbon,C-WEST,12101
2025-03-17,Maple Hollow Ale,C-EAST,25928
2025-03-17,Maple Hollow Ale,C-WEST,12147
2025-03-17,Northwind Lager,C-EAST,12981
2025-03-17,Northwind Lager,C-WEST,10106
2025-03-17,Riverbend IPA,C-EAST,27704
2025-03-17,Riverbend IPA,C-WEST,18407
2025-03-17,Solano Tequila,C-EAST,17486
2025-03-17,Solano Tequila,C-WEST,10815
2025-03-24,Black Pine Whiskey,C-EAST,19018
2025-03-24,Black Pine Whiskey,C-WEST,12989
2025-03-24,Crestmark Bourbon,C-EAST,21758
2025-03-24,Crestmark Bourbon,C-WEST,12903
2025-03-24,Maple Hollow Ale,C-EAST,27461
2025-03-24,Maple Hollow Ale,C-WEST,8929
2025-03-24,Northwind Lager,C-EAST,13568
2025-03-24,Northwind Lager,C-WEST,9566
2025-03-24,Riverbend IPA,C-EAST,17120
2025-03-24,Riverbend IPA,C-WEST,27789
2025-03-24,Solano Tequila,C-EAST,15518
2025-03-24,Solano Tequila,C-WEST,12874
2025-03-31,Black Pine Whiskey,C-EAST,15172
2025-03-31,Black Pine Whiskey,C-WEST,15119
2025-03-31,Crestmark Bourbon,C-EAST,18591
2025-03-31,Crestmark Bourbon,C-WEST,15804
2025-03-31,Maple Hollow Ale,C-EAST,27830
2025-03-31,Maple Hollow Ale,C-WEST,10437
2025-03-31,Northwind Lager,C-EAST,16766
2025-03-31,Northwind Lager,C-WEST,13885
2025-03-31,Riverbend IPA,C-EAST,22118
2025-03-31,Riverbend IPA,C-WEST,22611
2025-03-31,Solano Tequila,C-EAST,11617
2025-03-31,Solano Tequila,C-WEST,12110
2025-04-07,Black Pine Whiskey,C-EAST,13525
2025-04-07,Black Pine Whiskey,C-WEST,12963
2025-04-07,Crestmark Bourbon,C-EAST,17633
2025-04-07,Crestmark Bourbon,C-WEST,18784
2025-04-07,Maple Hollow Ale,C-EAST,28292
2025-04-07,Maple Hollow Ale,C-WEST,11125
2025-04-07,Northwind Lager,C-EAST,22794
2025-04-07,Northwind Lager,C-WEST,7518
2025-04-07,Riverbend IPA,C-EAST,26573
2025-04-07,Riverbend IPA,C-WEST,19660
2025-04-07,Solano Tequila,C-EAST,12896
2025-04-07,Solano Tequila,C-WEST,10834
2025-04-14,Black Pine Whiskey,C-EAST,17292
2025-04-14,Black Pine Whiskey,C-WEST,10900
2025-04-14,Crestmark Bourbon,C-EAST,15347
2025-04-14,Crestmark Bourbon,C-WEST,18020
2025-04-14,Maple Hollow Ale,C-EAST,30641
2025-04-14,Maple Hollow Ale,C-WEST,11854
2025-04-14,Northwind Lager,C-EAST,21533
2025-04-14,Northwind Lager,C-WEST,9967
2025-04-14,Riverbend IPA,C-EAST,23797
2025-04-14,Riverbend IPA,C-WEST,18350
2025-04-14,Solano Tequila,C-EAST,16269
2025-04-14,Solano Tequila,C-WEST,11904
2025-04-21,Black Pine Whiskey,C-EAST,30472
2025-04-21,Black Pine Whiskey,C-WEST,15898
2025-04-21,Crestmark Bourbon,C-EAST,15621
2025-04-21,Crestmark Bourbon,C-WEST,16367
2025-04-21,Maple Hollow Ale,C-EAST,32663
2025-04-21,Maple Hollow Ale,C-WEST,11417
2025-04-21,Northwind Lager,C-EAST,20102
2025-04-21,Northwind Lager,C-WEST,8950
2025-04-21,Riverbend IPA,C-EAST,23447
2025-04-21,Riverbend IPA,C-WEST,15299
2025-04-21,Solano Tequila,C-EAST,18585
2025-04-21,Solano Tequila,C-WEST,14302
2025-04-28,Black Pine Whiskey,C-EAST,17034
2025-04-28,Black Pine Whiskey,C-WEST,14653
2025-04-28,Crestmark Bourbon,C-EAST,15554
2025-04-28,Crestmark Bourbon,C-WEST,16429
2025-04-28,Maple Hollow Ale,C-EAST,31082
2025-04-28,Maple Hollow Ale,C-WEST,17554
2025-04-28,Northwind Lager,C-EAST,16057
2025-04-28,Northwind Lager,C-WEST,9963
2025-04-28,Riverbend IPA,C-EAST,21974
2025-04-28,Riverbend IPA,C-WEST,19059
2025-04-28,Solano Tequila,C-EAST,21792
2025-04-28,Solano Tequila,C-WEST,17923
2025-05-05,Black Pine Whiskey,C-EAST,18700
2025-05-05,Black Pine Whiskey,C-WEST,13090
2025-05-05,Crestmark Bourbon,C-EAST,25712
2025-05-05,Crestmark Bourbon,C-WEST,15723
2025-05-05,Maple Hollow Ale,C-EAST,36796
2025-05-05,Maple Hollow Ale,C-WEST,14114
2025-05-05,Northwind Lager,C-EAST,15671
2025-05-05,Northwind Lager,C-WEST,11867
2025-05-05,Riverbend IPA,C-EAST,20090
2025-05-05,Riverbend IPA,C-WEST,15872
2025-05-05,Solano Tequila,C-EAST,16269
2025-05-05,Solano Tequila,C-WEST,14484
2025-05-12,Black Pine Whiskey,C-EAST,14990
2025-05-12,Black Pine Whiskey,C-WEST,13885
2025-05-12,Crestmark Bourbon,C-EAST,18138
2025-05-12,Crestmark Bourbon,C-WEST,15041
2025-05-12,Maple Hollow Ale,C-EAST,29447
2025-05-12,Maple Hollow Ale,C-WEST,14625
2025-05-12,Northwind Lager,C-EAST,19437
2025-05-12,Northwind Lager,C-WEST,10607
2025-05-12,Riverbend IPA,C-EAST,19195
2025-05-12,Riverbend IPA,C-WEST,18951
2025-05-12,Solano Tequila,C-EAST,18462
2025-05-12,Solano Tequila,C-WEST,14672
2025-05-19,Black Pine Whiskey,C-EAST,10934
2025-05-19,Black Pine Whiskey,C-WEST,17574
2025-05-19,Crestmark Bourbon,C-EAST,14231
2025-05-19,Crestmark Bourbon,C-WEST,13580
2025-05-19,Maple Hollow Ale,C-EAST,30265
2025-05-19,Maple Hollow Ale,C-WEST,13160
2025-05-19,Northwind Lager,C-EAST,16185
2025-05-19,Northwind Lager,C-WEST,10383
2025-05-19,Riverbend IPA,C-EAST,18851
2025-05-19,Riverbend IPA,C-WEST,18440
2025-05-19,Solano Tequila,C-EAST,15757
2025-05-19,Solano Tequila,C-WEST,12152
2025-05-26,Black Pine Whiskey,C-EAST,15722
2025-05-26,Black Pine Whiskey,C-WEST,11331
2025-05-26,Crestmark Bourbon,C-EAST,16128
2025-05-26,Crestmark Bourbon,C-WEST,13029
2025-05-26,Maple Hollow Ale,C-EAST,33009
2025-05-26,Maple Hollow Ale,C-WEST,11317
2025-05-26,Northwind Lager,C-EAST,21657
2025-05-26,Northwind Lager,C-WEST,8633
2025-05-26,Riverbend IPA,C-EAST,23938
2025-05-26,Riverbend IPA,C-WEST,20691
2025-05-26,Solano Tequila,C-EAST,14033
2025-05-26,Solano Tequila,C-WEST,9386
2025-06-02,Black Pine Whiskey,C-EAST,17901
2025-06-02,Black Pine Whiskey,C-WEST,11002
2025-06-02,Crestmark Bourbon,C-EAST,15221
2025-06-02,Crestmark Bourbon,C-WEST,13093
2025-06-02,Maple Hollow Ale,C-EAST,35675
2025-06-02,Maple Hollow Ale,C-WEST,11398
2025-06-02,Northwind Lager,C-EAST,19039
2025-06-02,Northwind Lager,C-WEST,8852
2025-06-02,Riverbend IPA,C-EAST,22462
2025-06-02,Riverbend IPA,C-WEST,21031
2025-06-02,Solano Tequila,C-EAST,13244
2025-06-02,Solano Tequila,C-WEST,11823
2025-06-09,Black Pine Whiskey,C-EAST,19154
2025-06-09,Black Pine Whiskey,C-WEST,12836
2025-06-09,Crestmark Bourbon,C-EAST,16548
2025-06-09,Crestmark Bourbon,C-WEST,13038
2025-06-09,Maple Hollow Ale,C-EAST,35154
2025-06-09,Maple Hollow Ale,C-WEST,19155
2025-06-09,Northwind Lager,C-EAST,15427
2025-06-09,Northwind Lager,C-WEST,9207
2025-06-09,Riverbend IPA,C-EAST,26023
2025-06-09,Riverbend IPA,C-WEST,29177
2025-06-09,Solano Tequila,C-EAST,14808
2025-06-09,Solano Tequila,C-WEST,12801
2025-06-16,Black Pine Whiskey,C-EAST,16955
2025-06-16,Black Pine Whiskey,C-WEST,11961
2025-06-16,Crestmark Bourbon,C-EAST,19870
2025-06-16,Crestmark Bourbon,C-WEST,15184
2025-06-16,Maple Hollow Ale,C-EAST,34761
2025-06-16,Maple Hollow Ale,C-WEST,13574
2025-06-16,Northwind Lager,C-EAST,16483
2025-06-16,Northwind Lager,C-WEST,10233
2025-06-16,Riverbend IPA,C-EAST,25201
2025-06-16,Riverbend IPA,C-WEST,23775
2025-06-16,Solano Tequila,C-EAST,19962
2025-06-16,Solano Tequila,C-WEST,14511
2025-06-23,Black Pine Whiskey,C-EAST,15936
2025-06-23,Black Pine Whiskey,C-WEST,13783
2025-06-23,Crestmark Bourbon,C-EAST,19150
2025-06-23,Crestmark Bourbon,C-WEST,13975
2025-06-23,Maple Hollow Ale,C-EAST,49767
2025-06-23,Maple Hollow Ale,C-WEST,14872
2025-06-23,Northwind Lager,C-EAST,18329
2025-06-23,Northwind Lager,C-WEST,12886
2025-06-23,Riverbend IPA,C-EAST,22341
2025-06-23,Riverbend IPA,C-WEST,19755
2025-06-23,Solano Tequila,C-EAST,23120
2025-06-23,Solano Tequila,C-WEST,14432
2025-06-30,Black Pine Whiskey,C-EAST,12088
2025-06-30,Black Pine Whiskey,C-WEST,14371
2025-06-30,Crestmark Bourbon,C-EAST,14742
2025-06-30,Crestmark Bourbon,C-WEST,17933
2025-06-30,Maple Hollow Ale,C-EAST,40539
2025-06-30,Maple Hollow Ale,C-WEST,21835
2025-06-30,Northwind Lager,C-EAST,19043
2025-06-30,Northwind Lager,C-WEST,13801
2025-06-30,Riverbend IPA,C-EAST,23313
2025-06-30,Riverbend IPA,C-WEST,21493
2025-06-30,Solano Tequila,C-EAST,17266
2025-06-30,Solano Tequila,C-WEST,13810
2025-07-07,Black Pine Whiskey,C-EAST,14566
2025-07-07,Black Pine Whiskey,C-WEST,17576
2025-07-07,Crestmark Bourbon,C-EAST,12192
2025-07-07,Crestmark Bourbon,C-WEST,18060
2025-07-07,Maple Hollow Ale,C-EAST,38528
2025-07-07,Maple Hollow Ale,C-WEST,14307
2025-07-07,Northwind Lager,C-EAST,22817
2025-07-07,Northwind Lager,C-WEST,10001
2025-07-07,Riverbend IPA,C-EAST,22663
2025-07-07,Riverbend IPA,C-WEST,16837
2025-07-07,Solano Tequila,C-EAST,18104
2025-07-07,Solano Tequila,C-WEST,12256
2025-07-14,Black Pine Whiskey,C-EAST,20468
2025-07-14,Black Pine Whiskey,C-WEST,16452
2025-07-14,Crestmark Bourbon,C-EAST,15338
2025-07-14,Crestmark Bourbon,C-WEST,17017
2025-07-14,Maple Hollow Ale,C-EAST,31253
2025-07-14,Maple Hollow Ale,C-WEST,19520
2025-07-14,Northwind Lager,C-EAST,19174
2025-07-14,Northwind Lager,C-WEST,8973
2025-07-14,Riverbend IPA,C-EAST,18761
2025-07-14,Riverbend IPA,C-WEST,17935
2025-07-14,Solano Tequila,C-EAST,14191
2025-07-14,Solano Tequila,C-WEST,13836
2025-07-21,Black Pine Whiskey,C-EAST,16553
2025-07-21,Black Pine Whiskey,C-WEST,15283
2025-07-21,Crestmark Bourbon,C-EAST,16416
2025-07-21,Crestmark Bourbon,C-WEST,15900
2025-07-21,Maple Hollow Ale,C-EAST,36158
2025-07-21,Maple Hollow Ale,C-WEST,13269
2025-07-21,Northwind Lager,C-EAST,16505
2025-07-21,Northwind Lager,C-WEST,7788
2025-07-21,Riverbend IPA,C-EAST,20735
2025-07-21,Riverbend IPA,C-WEST,19981
2025-07-21,Solano Tequila,C-EAST,13918
2025-07-21,Solano Tequila,C-WEST,13339
2025-07-28,Black Pine Whiskey,C-EAST,16894
2025-07-28,Black Pine Whiskey,C-WEST,13223
2025-07-28,Crestmark Bourbon,C-EAST,18824
2025-07-28,Crestmark Bourbon,C-WEST,15635
2025-07-28,Maple Hollow Ale,C-EAST,28750
2025-07-28,Maple Hollow Ale,C-WEST,12005
2025-07-28,Northwind Lager,C-EAST,16388
2025-07-28,Northwind Lager,C-WEST,9753
2025-07-28,Riverbend IPA,C-EAST,25228
2025-07-28,Riverbend IPA,C-WEST,19365
2025-07-28,Solano Tequila,C-EAST,14614
2025-07-28,Solano Tequila,C-WEST,13899
2025-08-04,Black Pine Whiskey,C-EAST,14584
2025-08-04,Black Pine Whiskey,C-WEST,13859
2025-08-04,Crestmark Bourbon,C-EAST,18160
2025-08-04,Crestmark Bourbon,C-WEST,10644
2025-08-04,Maple Hollow Ale,C-EAST,27779
2025-08-04,Maple Hollow Ale,C-WEST,10950
2025-08-04,Northwind Lager,C-EAST,17022
2025-08-04,Northwind Lager,C-WEST,10562
2025-08-04,Riverbend IPA,C-EAST,25789
2025-08-04,Riverbend IPA,C-WEST,23359
2025-08-04,Solano Tequila,C-EAST,18883
2025-08-04,Solano Tequila,C-WEST,13350
2025-08-11,Black Pine Whiskey,C-EAST,14819
2025-08-11,Black Pine Whiskey,C-WEST,11423
2025-08-11,Crestmark Bourbon,C-EAST,17757
2025-08-11,Crestmark Bourbon,C-WEST,12798
2025-08-11,Maple Hollow Ale,C-EAST,27735
2025-08-11,Maple Hollow Ale,C-WEST,14539
2025-08-11,Northwind Lager,C-EAST,21853
2025-08-11,Northwind Lager,C-WEST,11682
2025-08-11,Riverbend IPA,C-EAST,28526
2025-08-11,Riverbend IPA,C-WEST,21547
2025-08-11,Solano Tequila,C-EAST,17170
2025-08-11,Solano Tequila,C-WEST,13937
2025-08-18,Black Pine Whiskey,C-EAST,17579
2025-08-18,Black Pine Whiskey,C-WEST,12809
2025-08-18,Crestmark Bourbon,C-EAST,14797
2025-08-18,Crestmark Bourbon,C-WEST,15376
2025-08-18,Maple Hollow Ale,C-EAST,29881
2025-08-18,Maple Hollow Ale,C-WEST,22909
2025-08-18,Northwind Lager,C-EAST,18381
2025-08-18,Northwind Lager,C-WEST,10245
2025-08-18,Riverbend IPA,C-EAST,22291
2025-08-18,Riverbend IPA,C-WEST,24650
2025-08-18,Solano Tequila,C-EAST,19354
2025-08-18,Solano Tequila,C-WEST,13263
2025-08-25,Black Pine Whiskey,C-EAST,20142
2025-08-25,Black Pine Whiskey,C-WEST,14086
2025-08-25,Crestmark Bourbon,C-EAST,15264
2025-08-25,Crestmark Bourbon,C-WEST,13513
2025-08-25,Maple Hollow Ale,C-EAST,29702
2025-08-25,Maple Hollow Ale,C-WEST,16035
2025-08-25,Northwind Lager,C-EAST,19145
2025-08-25,Northwind Lager,C-WEST,9174
2025-08-25,Riverbend IPA,C-EAST,19160
2025-08-25,Riverbend IPA,C-WEST,20127
2025-08-25,Solano Tequila,C-EAST,21838
2025-08-25,Solano Tequila,C-WEST,14378
2025-09-01,Black Pine Whiskey,C-EAST,27636
2025-09-01,Black Pine Whiskey,C-WEST,18128
2025-09-01,Crestmark Bourbon,C-EAST,15781
2025-09-01,Crestmark Bourbon,C-WEST,17853
2025-09-01,Maple Hollow Ale,C-EAST,28856
2025-09-01,Maple Hollow Ale,C-WEST,13143
2025-09-01,Northwind Lager,C-EAST,16782
2025-09-01,Northwind Lager,C-WEST,9291
2025-09-01,Riverbend IPA,C-EAST,17491
2025-09-01,Riverbend IPA,C-WEST,17062
2025-09-01,Solano Tequila,C-EAST,16707
2025-09-01,Solano Tequila,C-WEST,15660
2025-09-08,Black Pine Whiskey,C-EAST,18112
2025-09-08,Black Pine Whiskey,C-WEST,15589
2025-09-08,Crestmark Bourbon,C-EAST,21050
2025-09-08,Crestmark Bourbon,C-WEST,17777
2025-09-08,Maple Hollow Ale,C-EAST,35260
2025-09-08,Maple Hollow Ale,C-WEST,14817
2025-09-08,Northwind Lager,C-EAST,15632
2025-09-08,Northwind Lager,C-WEST,10159
2025-09-08,Riverbend IPA,C-EAST,20703
2025-09-08,Riverbend IPA,C-WEST,15120
2025-09-08,Solano Tequila,C-EAST,15224
2025-09-08,Solano Tequila,C-WEST,16873
2025-09-15,Black Pine Whiskey,C-EAST,15731
2025-09-15,Black Pine Whiskey,C-WEST,13825
2025-09-15,Crestmark Bourbon,C-EAST,16830
2025-09-15,Crestmark Bourbon,C-WEST,18170
2025-09-15,Maple Hollow Ale,C-EAST,35940
2025-09-15,Maple Hollow Ale,C-WEST,12791
2025-09-15,Northwind Lager,C-EAST,18625
2025-09-15,Northwind Lager,C-WEST,9349
2025-09-15,Riverbend IPA,C-EAST,23964
2025-09-15,Riverbend IPA,C-WEST,17698
2025-09-15,Solano Tequila,C-EAST,15044
2025-09-15,Solano Tequila,C-WEST,15438
2025-09-22,Black Pine Whiskey,C-EAST,14083
2025-09-22,Black Pine Whiskey,C-WEST,17082
2025-09-22,Crestmark Bourbon,C-EAST,17419
2025-09-22,Crestmark Bourbon,C-WEST,28651
2025-09-22,Maple Hollow Ale,C-EAST,31933
2025-09-22,Maple Hollow Ale,C-WEST,9116
2025-09-22,Northwind Lager,C-EAST,19934
2025-09-22,Northwind Lager,C-WEST,14123
2025-09-22,Riverbend IPA,C-EAST,25154
2025-09-22,Riverbend IPA,C-WEST,17629
2025-09-22,Solano Tequila,C-EAST,18034
2025-09-22,Solano Tequila,C-WEST,16107
2025-09-29,Black Pine Whiskey,C-EAST,18336
2025-09-29,Black Pine Whiskey,C-WEST,19295
2025-09-29,Crestmark Bourbon,C-EAST,14597
